time,CH01,CH02,CH03,CH04,CH05,CH06,CH07,CH08,CH09,CH10,CH11,CH12,CH13,CH14,CH15,CH16
16:11:36,25,44,-1,784,-360,7944,-0.703125,-6.25,-0.703125,0,0,0,0,0,0,0
16:11:36,29,49,-11,1084,-360,8224,-0.703125,-6.25,0,0,0,0,0,0,0,0
16:11:36,21,43,-28,1120,248,8176,0,-6.25,-0.703125,0,0,0,0,0,0,0
16:11:36,22,63,4,944,56,8112,-0.703125,-6.25,-0.703125,0,0,0,0,0,0,0
16:11:36,16,72,0,792,-368,7956,-0.703125,-6.25,-0.703125,0,0,0,0,0,0,0
16:11:36,23,71,-19,664,-84,7972,-0.703125,-6.25,-0.703125,0,0,0,0,0,0,0
16:11:36,25,69,1,820,276,8004,-0.703125,-5.546875,0,0,0,0,0,0,0,0
16:11:36,27,64,0,780,-360,8120,-0.703125,-6.25,-0.703125,0,0,0,0,0,0,0
16:11:36,28,63,-2,1216,-280,8224,-0.703125,-5.546875,0,0,0,0,0,0,0,0
16:11:36,26,74,-3,1040,204,8272,-0.703125,-6.25,-0.703125,0,0,0,0,0,0,0
16:11:36,27,72,-9,888,-200,7968,-0.703125,-6.25,-0.703125,0,0,0,0,0,0,0
16:11:36,30,72,-20,780,-324,7828,-0.703125,-6.25,-0.703125,0,0,0,0,0,0,0
16:11:36,23,87,15,716,100,7872,-0.703125,-5.546875,0,0,0,0,0,0,0,0
16:11:36,28,75,-10,1016,-192,7996,-0.703125,-5.546875,-0.703125,0,0,0,0,0,0,0
16:11:36,17,61,-10,1240,-432,8204,-0.703125,-6.25,0,0,0,0,0,0,0,0
16:11:36,21,68,-26,956,232,8272,-0.703125,-6.25,-0.703125,0,0,0,0,0,0,0
16:11:36,21,80,-4,1064,-28,7972,-0.703125,-6.25,-0.703125,0,0,0,0,0,0,0
16:11:36,21,82,4,852,-352,7796,0,-6.25,-0.703125,0,0,0,0,0,0,0
16:11:36,21,81,-9,764,56,7972,-0.703125,-6.25,-0.703125,0,0,0,0,0,0,0
16:11:36,26,77,-10,916,-316,7972,-0.703125,-6.25,-0.703125,0,0,0,0,0,0,0
16:11:36,24,59,-3,1188,-316,8212,-0.703125,-5.546875,-0.703125,0,0,0,0,0,0,0
16:11:36,23,60,-21,1092,220,8236,-0.703125,-6.25,-0.703125,0,0,0,0,0,0,0
16:11:36,19,74,-2,972,-116,8004,-0.703125,-6.25,0,0,0,0,0,0,0,0
16:11:36,30,69,-24,888,-312,7976,-0.703125,-6.25,-0.703125,0,0,0,0,0,0,0
16:11:36,27,90,1,740,148,7984,-0.703125,-6.25,-0.703125,0,0,0,0,0,0,0
16:11:36,290,952,-52,4196,-1704,10224,-0.703125,-5.546875,-0.703125,0,0,0,0,0,0,0
16:11:36,846,2041,20,-4,-920,6880,-0.703125,-5.546875,-0.703125,0,0,0,0,0,0,0
16:11:36,906,1223,93,-268,508,7056,0,-5.546875,-0.703125,0,0,0,0,0,0,0
16:11:36,636,1015,131,944,608,8568,0,-5.546875,-0.703125,0,0,0,0,0,0,0
16:11:36,470,1150,95,1024,136,8504,0,-5.546875,-0.703125,0,0,0,0,0,0,0
16:11:36,443,1102,31,1188,400,8552,0,-5.546875,-0.703125,0,0,0,0,0,0,0
16:11:36,493,1094,-2,1040,-380,7824,0,-4.84375,-0.703125,0,0,0,0,0,0,0
16:11:36,525,1086,13,1104,-180,7820,0,-4.84375,0,0,0,0,0,0,0,0
16:11:36,521,1073,31,868,32,7936,0,-4.84375,0,0,0,0,0,0,0,0
16:11:36,495,1027,60,168,-412,8176,0,-4.84375,0,0,0,0,0,0,0,0
16:11:36,467,1014,87,288,-232,8200,0,-4.84375,-0.703125,0,0,0,0,0,0,0
16:11:36,472,1004,48,488,-116,7848,0,-4.140625,0,0,0,0,0,0,0,0
16:11:36,450,983,52,916,-224,7888,0,-4.140625,0,0,0,0,0,0,0,0
16:11:36,453,954,23,1028,268,8040,0.703125,-4.140625,-0.703125,0,0,0,0,0,0,0
16:11:36,444,932,47,576,112,8292,0.703125,-4.140625,0,0,0,0,0,0,0,0
16:11:36,430,935,35,356,-68,8316,0.703125,-4.140625,0,0,0,0,0,0,0,0
16:11:36,437,923,52,668,396,8052,0.703125,-4.140625,0,0,0,0,0,0,0,0
16:11:36,406,895,38,772,-76,7912,0.703125,-4.140625,-0.703125,0,0,0,0,0,0,0
16:11:36,396,881,39,664,216,7984,0.703125,-3.4375,0,0,0,0,0,0,0,0
16:11:36,390,862,27,496,304,8156,0.703125,-3.4375,0,0,0,0,0,0,0,0
16:11:36,373,854,65,356,-144,8260,0.703125,-3.4375,-0.703125,0,0,0,0,0,0,0
16:11:36,380,832,51,484,228,8152,0.703125,-3.4375,0,0,0,0,0,0,0,0
16:11:36,370,811,38,720,-148,8048,0.703125,-3.4375,0,0,0,0,0,0,0,0
16:11:36,359,811,40,588,-12,8184,0.703125,-3.4375,0,0,0,0,0,0,0,0
16:11:36,359,776,-6,448,172,8064,0.703125,-3.4375,0,0,0,0,0,0,0,0
16:11:36,340,780,12,308,-280,8016,0.703125,-2.734375,0,0,0,0,0,0,0,0
16:11:36,334,771,55,216,128,8040,0.703125,-2.734375,0,0,0,0,0,0,0,0
16:11:36,325,741,43,448,-152,7944,1.40625,-2.734375,0,0,0,0,0,0,0,0
16:11:36,327,731,22,732,56,8300,1.40625,-2.734375,-0.703125,0,0,0,0,0,0,0
16:11:36,310,727,51,412,272,8200,1.40625,-2.734375,0,0,0,0,0,0,0,0
16:11:36,317,699,23,228,-92,8028,1.40625,-2.734375,0,0,0,0,0,0,0,0
16:11:36,303,703,31,344,324,8052,1.40625,-2.734375,0,0,0,0,0,0,0,0
16:11:36,285,682,14,328,-80,8044,1.40625,-2.734375,0,0,0,0,0,0,0,0
16:11:36,286,670,17,612,128,8108,1.40625,-2.734375,0,0,0,0,0,0,0,0
16:11:36,288,655,37,436,348,8088,1.40625,-2.03125,0,0,0,0,0,0,0,0
16:11:36,278,651,47,240,-52,8020,1.40625,-2.03125,0,0,0,0,0,0,0,0
16:11:36,261,635,21,348,308,8076,1.40625,-2.03125,-0.703125,0,0,0,0,0,0,0
16:11:36,277,631,4,260,-88,8140,1.40625,-2.03125,0,0,0,0,0,0,0,0
16:11:36,258,605,17,560,256,8320,1.40625,-2.03125,0,0,0,0,0,0,0,0
16:11:36,264,614,29,284,220,8008,1.40625,-2.03125,0,0,0,0,0,0,0,0
16:11:36,245,595,-12,100,-148,7956,1.40625,-2.03125,0,0,0,0,0,0,0,0
16:11:36,241,572,19,180,304,8124,1.40625,-2.03125,0,0,0,0,0,0,0,0
16:11:36,232,579,27,260,-44,8148,1.40625,-2.03125,0,0,0,0,0,0,0,0
16:11:36,229,557,20,520,288,8300,1.40625,-2.03125,0,0,0,0,0,0,0,0
16:11:36,239,555,28,380,332,8044,1.40625,-2.03125,0,0,0,0,0,0,0,0
16:11:36,216,542,49,176,8,8048,1.40625,-1.328125,0,0,0,0,0,0,0,0
16:11:36,218,529,9,112,396,8076,1.40625,-1.328125,0,0,0,0,0,0,0,0
16:11:36,210,521,6,520,-52,8184,1.40625,-1.328125,0,0,0,0,0,0,0,0
16:11:36,207,504,-6,516,396,8292,1.40625,-1.328125,0,0,0,0,0,0,0,0
16:11:36,201,493,49,240,352,7828,1.40625,-1.328125,0,0,0,0,0,0,0,0
16:11:36,190,503,10,348,40,8048,1.40625,-1.328125,0,0,0,0,0,0,0,0
16:11:36,201,486,-23,108,216,7988,2.109375,-1.328125,0,0,0,0,0,0,0,0
16:11:36,192,468,-7,364,-116,8308,2.109375,-1.328125,0,0,0,0,0,0,0,0
16:11:36,184,469,17,536,380,8252,2.109375,-1.328125,0,0,0,0,0,0,0,0
16:11:36,179,476,5,208,136,7876,2.109375,-1.328125,0,0,0,0,0,0,0,0
16:11:36,165,455,14,-16,264,7928,2.109375,-1.328125,0,0,0,0,0,0,0,0
16:11:36,185,443,5,128,-28,7960,2.109375,-1.328125,0,0,0,0,0,0,0,0
16:11:36,171,444,25,276,192,8408,2.109375,-0.625,0,0,0,0,0,0,0,0
16:11:36,152,432,25,300,340,8204,2.109375,-0.625,0,0,0,0,0,0,0,0
16:11:36,152,424,9,296,20,7988,2.109375,-0.625,0,0,0,0,0,0,0,0
16:11:36,167,432,-4,188,388,7880,2.109375,-0.625,0,0,0,0,0,0,0,0
16:11:36,160,406,9,268,76,8248,2.109375,-0.625,0,0,0,0,0,0,0,0
16:11:36,141,389,13,260,288,8376,2.109375,-0.625,0,0,0,0,0,0,0,0
16:11:36,148,400,12,248,264,8056,2.109375,-0.625,0,0,0,0,0,0,0,0
16:11:36,139,402,5,48,60,7872,2.109375,-0.625,0,0,0,0,0,0,0,0
16:11:36,140,386,-9,-52,368,7940,2.109375,-0.625,0,0,0,0,0,0,0,0
16:11:36,138,369,20,172,-4,8304,2.109375,-0.625,0,0,0,0,0,0,0,0
16:11:36,122,361,-9,392,388,8292,2.109375,-0.625,0,0,0,0,0,0,0,0
16:11:36,133,363,5,0,140,7924,2.109375,-0.625,0,0,0,0,0,0,0,0
16:11:36,127,360,23,-44,216,7952,2.109375,-0.625,0,0,0,0,0,0,0,0
16:11:36,124,370,32,172,36,8068,2.109375,-0.625,0,0,0,0,0,0,0,0
16:11:36,114,328,-2,308,168,8388,2.109375,-0.625,0,0,0,0,0,0,0,0
16:11:36,118,335,-27,104,324,8140,2.109375,-0.625,0,0,0,0,0,0,0,0
16:11:36,110,330,-27,172,104,8028,2.109375,-0.625,0,0,0,0,0,0,0,0
16:11:36,105,339,7,-4,476,7964,2.109375,-0.625,0,0,0,0,0,0,0,0
16:11:36,107,317,8,204,-36,8240,2.109375,-0.625,0,0,0,0,0,0,0,0
16:11:36,112,306,-8,260,532,8308,2.109375,0.078125,0,0,0,0,0,0,0,0
16:11:36,114,319,-11,36,184,7896,2.109375,0.078125,0,0,0,0,0,0,0,0
16:11:36,88,315,16,24,284,7932,2.109375,0.078125,0,0,0,0,0,0,0,0
16:11:36,98,295,-1,-64,120,8004,2.109375,0.078125,0,0,0,0,0,0,0,0
16:11:36,95,291,3,176,308,8476,2.109375,0.078125,0,0,0,0,0,0,0,0
16:11:36,90,284,-7,132,412,8224,2.109375,0.078125,0,0,0,0,0,0,0,0
16:11:36,92,285,3,128,0,8004,2.109375,0.078125,0,0,0,0,0,0,0,0
16:11:36,87,297,26,72,380,7960,2.109375,0.078125,0,0,0,0,0,0,0,0
16:11:36,81,283,-15,136,32,8224,2.109375,0.078125,0,0,0,0,0,0,0,0
16:11:36,89,265,23,188,472,8308,2.109375,0.078125,0,0,0,0,0,0,0,0
16:11:36,80,267,-29,144,272,8124,2.109375,0.078125,0,0,0,0,0,0,0,0
16:11:36,74,267,16,52,196,8052,2.109375,0.078125,0.703125,0,0,0,0,0,0,0
16:11:36,78,264,-13,4,336,8004,2.109375,0.078125,0,0,0,0,0,0,0,0
16:11:36,76,246,-23,256,80,8332,2.109375,0.078125,0,0,0,0,0,0,0,0
16:11:36,63,242,-6,124,468,8252,2.109375,0.078125,0,0,0,0,0,0,0,0
16:11:36,65,250,10,-4,140,7944,2.109375,0.078125,0,0,0,0,0,0,0,0
16:11:36,63,252,9,72,340,7972,2.109375,0.078125,0,0,0,0,0,0,0,0
16:11:36,70,246,9,-28,104,8124,2.109375,0.078125,0,0,0,0,0,0,0,0
16:11:36,60,218,-17,116,428,8296,2.109375,0.078125,0,0,0,0,0,0,0,0
16:11:36,46,234,-18,-20,192,7984,2.109375,0.078125,0,0,0,0,0,0,0,0
16:11:36,67,231,0,-112,280,7908,2.109375,0.078125,0,0,0,0,0,0,0,0
16:11:36,69,228,-18,-56,72,8080,2.109375,0.078125,0,0,0,0,0,0,0,0
16:11:36,55,209,7,536,236,8536,2.109375,0.078125,0,0,0,0,0,0,0,0
16:11:36,51,226,-17,88,396,8168,2.109375,0.078125,0,0,0,0,0,0,0,0
16:11:36,54,211,-21,128,16,8068,2.109375,0.078125,0,0,0,0,0,0,0,0
16:11:36,48,211,-8,60,300,8040,2.109375,0.078125,0,0,0,0,0,0,0,0
16:11:36,50,201,-5,96,48,8296,2.109375,0.078125,0,0,0,0,0,0,0,0
16:11:36,40,197,-11,208,332,8200,2.109375,0.078125,0,0,0,0,0,0,0,0
16:11:36,51,205,-5,-132,128,7996,2.109375,0.078125,0,0,0,0,0,0,0,0
16:11:36,48,187,-29,48,12,8204,2.109375,0.078125,0,0,0,0,0,0,0,0
16:11:36,37,208,12,32,388,8244,2.109375,0.078125,0,0,0,0,0,0,0,0
16:11:36,44,178,0,-108,324,8004,2.109375,0.078125,0,0,0,0,0,0,0,0
16:11:36,36,191,1,-16,20,8172,2.109375,0.078125,0,0,0,0,0,0,0,0
16:11:36,27,192,-4,156,184,8376,2.109375,0.78125,0,0,0,0,0,0,0,0
16:11:36,33,189,21,-72,172,8072,2.109375,0.78125,0,0,0,0,0,0,0,0
16:11:36,35,183,-18,-52,372,8020,2.109375,0.78125,0,0,0,0,0,0,0,0
